OTUs,Domain,Phylum,Class,Order,Family,Genus
C0,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,unclassified_Clostridiaceae_1
C1,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,unclassified_Actinomycetales,
C2,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,unclassified_Porphyromonadaceae
C3,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
C4,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,unclassified_Ruminococcaceae
C5,Bacteria,unclassified_Bacteria,,,,
C6,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,
C7,Bacteria,unclassified_Bacteria,,,,
C8,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,unclassified_Ruminococcaceae
C9,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto
C10,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus
C11,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas
C12,Bacteria,unclassified_Bacteria,,,,
C13,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,unclassified_Ruminococcaceae
C14,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia
C15,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,unclassified_Porphyromonadaceae
C16,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,unclassified_Synergistaceae
C17,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,unclassified_Actinomycetales,
C18,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,unclassified_Pasteurellaceae
C19,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas
C20,Bacteria,Proteobacteria,Gammaproteobacteria,unclassified_Gammaproteobacteria,,
C21,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium
C22,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia
C23,Bacteria,Chloroflexi,Thermomicrobia,Sphaerobacterales,Sphaerobacteraceae,Sphaerobacter
C24,Bacteria,unclassified_Bacteria,,,,
C25,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,unclassified_Prevotellaceae
C26,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium
C27,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae_Sedis_XI,Gallicola
C28,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae_Sedis_XI,Gallicola
C29,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella
C30,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,unclassified_Lachnospiraceae
C31,Bacteria,Firmicutes,unclassified_Firmicutes,,,
C32,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,
C33,Bacteria,Spirochaetes,Spirochaetes,Spirochaetales,Spirochaetaceae,Treponema
C34,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella
C35,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,unclassified_Ruminococcaceae
C36,Bacteria,Firmicutes,unclassified_Firmicutes,,,
C37,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia
C38,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae_Sedis_XI,Gallicola
C39,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,unclassified_Ruminococcaceae
C40,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,
C41,Bacteria,Bacteroidetes,unclassified_Bacteroidetes,,,
C42,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,
C43,Bacteria,Firmicutes,unclassified_Firmicutes,,,
C44,Bacteria,Firmicutes,unclassified_Firmicutes,,,
C45,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,unclassified_Clostridiaceae_1
C46,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiracea_incertae_sedis
C47,Bacteria,Bacteroidetes,unclassified_Bacteroidetes,,,
C48,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,unclassified_Ruminococcaceae
C49,Bacteria,Bacteroidetes,unclassified_Bacteroidetes,,,
C50,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,unclassified_Lachnospiraceae
C51,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,unclassified_Ruminococcaceae
C52,Bacteria,Firmicutes,unclassified_Firmicutes,,,
C53,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,
C54,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Flavonifractor
C55,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides
C56,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,
C57,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae_Sedis_XIII,unclassified_Clostridiales_Incertae_Sedis_XIII
C58,Bacteria,Bacteroidetes,unclassified_Bacteroidetes,,,
C59,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella
C60,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,unclassified_Ruminococcaceae
C61,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,
C62,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelotrichaceae_incertae_sedis
C63,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae_Sedis_XI,Gallicola
C64,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,
C65,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia
C66,Bacteria,Firmicutes,unclassified_Firmicutes,,,
C67,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,unclassified_Lachnospiraceae
C68,Bacteria,Bacteroidetes,unclassified_Bacteroidetes,,,
C69,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto
C70,Bacteria,unclassified_Bacteria,,,,
C71,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae_Sedis_XIII,Anaerovorax
C72,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,unclassified_Prevotellaceae
C73,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Yaniella
C74,Bacteria,unclassified_Bacteria,,,,
C75,Bacteria,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,unclassified_Coriobacteriaceae
C76,Bacteria,Firmicutes,unclassified_Firmicutes,,,
C77,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,unclassified_Ruminococcaceae
C78,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium
C79,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,unclassified_Lachnospiraceae
C80,Bacteria,Firmicutes,Clostridia,Clostridiales,Syntrophomonadaceae,Syntrophomonas
C81,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,unclassified_Lachnospiraceae
C82,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus
C83,Bacteria,Firmicutes,unclassified_Firmicutes,,,
C84,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae_Sedis_XI,Gallicola
C85,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
C86,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella
C87,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiracea_incertae_sedis
C88,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,
C89,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Sporobacter
C90,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,
C91,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,unclassified_Ruminococcaceae
C92,Bacteria,unclassified_Bacteria,,,,
C93,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,unclassified_Lachnospiraceae
C94,Bacteria,Firmicutes,unclassified_Firmicutes,,,
C95,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,unclassified_Ruminococcaceae
C96,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,unclassified_Ruminococcaceae
